Наименование,Признаки,ИНН,Адрес,Сайт,Дата добавления
"ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ""ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО НАЦИОНАЛЬНОГО РАЗВИТИЯ""",Признаки финансовой пирамиды,7704452503,"119270, г. Москва, Лужнецкая набережная, д. 2/4, эт. 2, пом. 240",po-nr.ru,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""ГУДФИН""",Признаки нелегального кредитора,7709477068,"109044, г. Москва, пл. Таганская, д. 3, эт. 5, пом. I, комн. 2",goodfinbank.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЗВГ КАПИТАЛ""",Признаки нелегального кредитора,2223968600,"656049, Алтайский край , г. Барнаул, переулок Ядринцева, д. 82",,01.02.2021
SBMmarkets,Признаки нелегального профессионального участника рынка ценных бумаг,,,sbmmarkets.com,01.02.2021
UAB Gatelinas (FinMax),Признаки нелегального профессионального участника рынка ценных бумаг,,Vilniaus m. sav. Vilniaus m. Svitrigailos g. 11K-109,"finmax.com, finmaxbo.com, finmaxfx.com",01.02.2021
Grand Capital Limited,Признаки нелегального профессионального участника рынка ценных бумаг,,,"grandcapital.net, gcoption.com, grandcapital.ru, ru.grandbroker.com",01.06.2021
"GOWEL s.r.o (U2Capitals, KBCapitals)",Признаки нелегального профессионального участника рынка ценных бумаг,,"Rybna 716/24, Stare Mesto, 110 00 Praha 1","kbcapitals.com, u2Capitals.com ",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХАПИ""",Признаки нелегального кредитора,2521014535,"692481, Приморский край, Надеждинский район, с. Вольно-Надеждинское, ул. 50 лет Октября, д. 15, кв. 5",,01.02.2021
"Xtrade Group Ltd, Xtrade International Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,"xtrade.com, xtrade.ru",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИНАНСОВАЯ КОМПАНИЯ ""РУФИНАНС ВКБ""",Признаки нелегального кредитора,5636021728,"461200, Оренбургская обл., Новосергиевский район, ул. Красноармейская, дом 87, квартира 5",,01.02.2021
"AroTrade, SPEED SOLUTIONS Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,"arotrade.com, arotrade.net",01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГ-АВТОЗАЙМ""",Признаки нелегального кредитора,2320212294,"354000, Краснодарский край, г. Сочи, ул. Горького (Центральный район), д. 87, офис 24",pobedafinance.ru,01.02.2021
Forex Club International Limited,Признаки нелегального профессионального участника рынка ценных бумаг,,"The Financial Services Centre, P.O. Box 1823, Stoney Ground, Kingstown, St. Vincent and Grenadines","fxclub.org, libertex.org, libertex-affiliates.com, fxclubaffiliates.com (libertex-affiliates.com), forexclub.org, fxclub.org, forexclub.ru, kins-milton.com/index.html, libertex.fxclub.org",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТИЦИОННАЯ ГРУППА ""СВОБОДНЫЙ КАПИТАЛ""",Признаки финансовой пирамиды,5902887541,"614000, Пермский край, г. Пермь, ул. Ленна, д.50, офис 411 ",free-capital.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ВЕКША""",Признаки нелегального кредитора,6234177332,"390013, Рязанская обл., г. Рязань, ул. Вокзальная, д. 77, пом. Н76, комн. 1",vekha.ru,01.02.2021
"ABA Marketing Group Inc (ООО ""Stronghold Solutions"")",Признаки финансовой пирамиды,,"Latvia, Riga, St.Kalku 7, LV-1050",abamarketing.pw; aba.marketing; aba.com.kn; abamarketingroup.ru,01.02.2021
